m,DATE ADDED,"AGE, SEX, PEDIGREE",TRAINER,INJURY,MOST RECENT RACE,NEXT RACE OR MAJOR GOAL,LAST ACTIVITY,,,,,,,,,,,,,,,
Awesome Gem,10/18/2011,"9, g, Awesome Again - Piano, by Pentelicus",C. Dollase,Hind-end,"Finished first at 9-10 odds in an ""ANC"" allowance at Golden Gate on April 12",,,,,,,,,,,,,,,,,
Awesome Maria,7/21/2011,"5, m, Maria's Mon - Discreetly Awesome, by Wild Again",T. Pletcher,Non-displaced condylar fracture left foreleg (surgery to insert 2 screws),Finished first at 9-10 odds in the Grade 3 Sabin Stakes at Gulfstream on February 25,,,,,,,,,,,,,,,,,
Bandbox,5/17/2012,"4, c, Tapit - Empty the Bases, by Grand Slam",R. Jenkins,Quarter crack,Finished second at 5-2 odds in the Grade 3 Maryland Sprint Handicap at Pimlico on May 19,,,,,,,,,,,,,,,,,
Banner Bill,10/5/2011,"3, g, Rockport Harbor - Temporada, by Summer Squall",R. Biamonte/K. McLaughlin,Extremely sick (spent two weeks in clinic),Finished sixth at 7-1 odds in an 'n3x' optional claimer at Saratoga on August 20,,,,,,,,,,,,,,,,,
Barbecue Eddie,3/28/2012,"8, g, Stormy Atlantic - The Green Owl, by Carson City",D. Watson,Temperature      ,Finished first in the Emirates Airline Allowance at Meydan on November 8,,,,,,,,,,,,,,,,,
Basmati,1/28/2012,"3, c, Borrego - Abruzzi Ridge, by Mountain Cat",D. O'Neill,Ankle,Finished first at 7-1 odds in an 'n1x' allowance at Santa Anita on November 2,,,,,,,,,,,,,,,,,
Bear It's Time,11/11/2011,"4, f, Philanthropist - Time Allowed, by Missionary Ridge",R. Baker,Undisclosed,Finished fourth at 7-1 odds in the Grade 3 Ontario Matron Stakes at Woodbine on July 22,,,,,,,,,,,,,,,,,
Be Bullish,7/4/2012,"7, g, Pure Prize - Smart Holly, by Smarten",B. Brown,Bled    ,Finished third at 8-1 odds in the Chasin' Wimmin' Stakes at Belmont on July 6,,,,,,,,,,,,,,,,,
Beggarthyneighbor,4/4/2012,"3, c, Half Ours - Postulant, by Pulpit",C. Brown,Quarter crack,Finished seventh at 5-1 odds in an 'n2x' optional claimer at Aqueduct on November 18,,,,,,,,,,,,,,,,,
Bella's Fantasy,12/29/2011,"3, f, Hard Spun - Fantasy Lake, by Salt Lake",B. Baffert,Sick,"Finished first at 13-10 odds in a $50,000 maiden claimer at Santa Anita on January 22",,,,,,,,,,,,,,,,,
Big Red Mike,4/26/2012,"5, g, Tenpins - Regent n' Flashy, by Vice Regent",N. Gonzalez,Bone bruise right hind ankle + Shoulder muscle (missed 4 or 5 days),Finished fifth at 8-1 odds in an 'n3x' optional claimer at Woodbine on April 28,,,,,,,,,,,,,,,,,
Big Tiz,6/27/2011,"4, f, Tiznow - Squall City, by Carson City",M. Glatt,Undisclosed,Finished third at 7-1 odds in the Kalookan Queen Handicap at Santa Anita on January 1,,,,,,,,,,,,,,,,,
Billet's Baby,8/15/2011,"3, f, Petionville - Miss Sidisin, by Chief Seattle",B. Brown,Bled workout 8/15/11,Finished fourth at 7-2 odds in a maiden special weight at Parx on June 10,,,,,,,,,,,,,,,,,
Bind,6/13/2011,"4, c, Pulpit - Check, by Unbridled",A. Stall Jr.,Condylar fracture right foreleg (surgery),Finished first at 6-5 odds in an 'n1x' allowance at Fair Grounds on December 22,,,,,,,,,,,,,,,,,
Black Jack Blues,12/12/2011,"9, g, Definite Article - Melody Maid, by Strong Gale",J. Delozier III,Illness,Finished first in the Grade 3 Carolina Cup Hurdle at Camden on March 31,,,,,,,,,,,,,,,,,
Blake,12/17/2011,"5, h, Eurosilver - Really a Fibber, by For Really",V. Cerin,Sick,Finished ninth at 47-1 odds in an 'n1x' allowance at Santa Anita on January 6,,,,,,,,,,,,,,,,,
B L's Success,11/18/2011,"4, g, Successful Appeal - B L's Girl, by Master Derby",L. Pilotti,Trainer reported nerved left fore,"Finished ninth at 24-1 odds in a $12,500 maiden claimer at Gulfstream on January 13",,,,,,,,,,,,,,,,,
Boldy,12/28/2011,"3, f, Forest Wildcat - Bold Ruritania, by Bold Ruckus",C. Garrison,Bled after race,Finished first at 11-1 odds in a maiden special weight at Tampa Bay on April 4,,,,,,,,,,,,,,,,,
Bourbon Bay,6/7/2012,"6, g, Sligo Bay - Coral Necklace, by Conquistador Cielo",N. Drysdale,Unspecified setback,Finished eighth at 4-1 odds in the Grade 1 John Henry Turf Championship at Santa Anita on September 30,,,,,,,,,,,,,,,,,
Bourbon Courage,3/6/2012,"3, c, Lion Heart - Shine Forth, by Carson City",K. Gorder,Minor problem,Finished first at 3-10 odds in an 'n1x' optional claimer at Fair Grounds on March 24,,,,,,,,,,,,,,,,,
Boxeur des Rues,6/3/2012,"4, c, Smart Strike - Marseille Express, by Caerleon",D. O'Neill,Bruised right front foot (shoe cut down to three-quarters),Finished seventh at 20-1 odds in the Grade 2 Brooklyn Handicap at Belmont on June 8,,,,,,,,,,,,,,,,,
Boys At Tosconova,4/4/2012,"4, c, Officer - Little Bonnet, by Coronado's Quest",R. Dutrow Jr.,Off behind,Finished second at 2-1 odds in the Grade 3 Westchester Stakes at Belmont on April 28,,,,,,,,,,,,,,,,,
Brave Falcon,2/23/2012,"3, c, North Light - Maria Clarissa, by Maria's Mon",A. Ivanskoy/O. Nowak,Vet list,"Finished ninth at 31-1 odds in in an $8,000 maiden claimer at Tampa Bay on April 6",,,,,,,,,,,,,,,,,
Bridal Affair,12/31/2011,"3, f, Mr. Greeley - Fastbridled, by Unbridled's Song",K. Gorder,Vet's List,"Finished second at 19-1 odds in a $50,000 maiden claimer at Oaklawn on February 20",,,,,,,,,,,,,,,,,
Bridgetown,10/5/2011,"5, h, Speightstown - Ellesmere, by Tabasco Cat",T. Pletcher,Not quite right - T. Pletcher,Finished second at 3-2 odds in the Grade 3 Twin Spires Turf Sprint at Churchill on May 5,,,,,,,,,,,,,,,,,
Briecat,6/8/2012,"7, m, Adcat - Silk Briefcase, by Marlin",V. Cerin,Bruised foot (missed some training),Finished third at 7-2 odds in the Redondo Beach Stakes at Betfair Hollywood on June 10,,,,,,,,,,,,,,,,,
Brigand,8/26/2011,"3, c, Flatter - Silence Please, by Quiet American",B. Baffert,Non-displaced chip ankle (surgery),Finished sixth at 5-2 odds in the Baffle Stakes at Santa Anita on February 26,,,,,,,,,,,,,,,,,
Brigand,6/18/2012,"3, c, Flatter - Silence Please, by Quiet American",B. Baffert,"Torn front of toe (lost hind shoe, missed 3 weeks of training)",Finished second at 1-2 odds in the Mike Lee Stakes at Belmont on June 24,,,,,,,,,,,,,,,,,
Broadway's Alibi,3/2/2012,"3, f, Vindication - Broadway Gold, by Seeking the Gold",T. Pletcher,Shed frog left hind foot (galloped with protective plate),Finished first at 11-10 odds in the Grade 3 Comely Stakes at Aqueduct on April 7,,,,,,,,,,,,,,,,,
Brother Francis,10/3/2011,"3, c, Street Cry - Nothing But Fun, by Dixie Union",M. Hushion,,Finished third at 7-5 odds in a maiden special weight at Santa Anita on March 10,,,,,,,,,,,,,,,,,
Brush to Clear,1/19/2012,"4, g, Cryptoclearance - Proud Brush, by Proudest Romeo",D. Hinsley,Bled,"Finished seventh at 13-1 odds in a $20,000 maiden claimer at Tampa Bay on February 11",,,,,,,,,,,,,,,,,
Bruski's Star,12/15/2011,"3, f, High Cotton - Amberuski, by Friendly Lover",K. O'Connell,Bled after workout,"Finished sixth at 8-1 odds in a $50,000 maiden claimer at Tampa Bay on February 4",,,,,,,,,,,,,,,,,
B. Shanny,10/3/2011,"3, c, Street Cry - Nothing But Fun, by Dixie Union",M. Hushion,Knee chip (surgery),Finished second at 2-1 odds in an 'n1x' allowance at Belmont on June 16,,,,,,,,,,,,,,,,,
Burban,4/28/2012,"4, f, Speightstown - Horse B With You, by Slewdledo",E. Kenneally,"""Minor issues"" - E. Kenneally",Finished first at 6-5 odds in an 'n1x' allowance at Churchill on May 1,,,,,,,,,,,,,,,,,
Buongiorno Johnny,11/16/2011,"3, c, Mr. Greeley - Mycupoftea, by Williamstown",S. Attard,Throat surgery,Finished eighth at 4-1 odds in an 'n1x' allowance at Woodbine on April 6,,,,,,,,,,,,,,,,,
Business First,12/4/2011,"2, f, Pavarotti - Parish Business, by Phone Trick",A. Perez,Lame,Finished fifth at 23-1 odds in a maiden special weight at Tampa Bay on April 4,,,,,,,,,,,,,,,,,
Calibrachoa,2/4/2012,"5, h, Southern Image - Fort Lauderdale, by Montbrook",T. Pletcher,Cut himself a little bit - M. Repole,Finished first at 7-2 odds in the Grade 3 Tom Fool Handicap at Aqueduct on March 3,,,,,,,,,,,,,,,,,
Cape Cod Canal,1/20/2012,"3, g, Wildcat Heir - Your Place Anytime, by Out of Place",B. Alexander,Bled after work,Finished second at 7-1 odds in a maiden special weight at Monmouth on June 2,,,,,,,,,,,,,,,,,
Casual Trick,2/24/2012,"3, r, Bernardini - Casual Look, by Red Ransom",N. Zito,Flipped palate,Finished seventh at 8-1 odds in the Grade 2 Fasig-Tipton Fountain of Youth Stakes at Gulfstream on February 26,,,,,,,,,,,,,,,,,
Casual Trick,4/4/2012,"3, r, Bernardini - Casual Look, by Red Ransom",N. Zito,Breathing problem (surgery),DNF at 31-1 odds in the Grade 1 Wood Memorial Stakes at Aqueduct on April 7,,,,,,,,,,,,,,,,,
Casual Trick,4/7/2012,"3, r, Bernardini - Casual Look, by Red Ransom",N. Zito,Breathing problems,Finished first at 3-2 odds in an 'n1x' allowance at Parx on July 4,,,,,,,,,,,,,,,,,
Category Seven,11/16/2011,"7, m, Gulf Storm - Spectacular Lace, by Jokester",K. Hargrave,"Hind-end, twisted hock",Finished tenth at 4-1 odds in the Jersey Lily Stakes at Sam Houston on February 4,,,,,,,,,,,,,,,,,
C C's Pal,1/19/2012,"5, m, Alex's Pal - Roca, by Noactor",R. Dutrow Jr.,Foot   ,Finished third at 3-1 odds in the Grade 2 Barbara Fritchie Handicap at Laurel on February 18,,,,,,,,,,,,,,,,,
Celestial Kitten,5/29/2012,"4, f, Kitten's Joy - Heavenly Glory, by Honour and Glory",B. Cecil,"""A couple minor issues"" - B. Cecil",Finished eighth at 5-2 odds in an 'n2x' optional claimer at Betfair Hollywood on May 31,,,,,,,,,,,,,,,,,
Center Divider,7/11/2012,"5, h, Giant's Causeway - Meridiana, by Lomitas",C. Brown,He got banged up on his knee a little bit - C. Brown,Finished second at 17-1 odds in the Grade 1 Man O'War Stakes at Belmont on July 14,,,,,,,,,,,,,,,,,
Centralinteligence,3/20/2012,"4, g, Smarty Jones - Shootforthestars, by Seattle Slew",R. Ellis,Superficial cuts,Finished first at 1-1 odds in an 'n2x' allowance at Santa Anita on March 22,,,,,,,,,,,,,,,,,
Chief's Revenge,11/13/2011,"4, c, Chief Seattle - Last Two States, by Alaskan Frost",R. Dennis,Vets list,Finished first at 27-1 odds in a maiden special weight at Churchill Downs on May 25,,,,,,,,,,,,,,,,,
Chosen Miracle,3/4/2012,"4, c, Ghostzapper - Royally Chosen, by In Excess",J. Hollendorfer,Vet scratch (sick),Finished second at 12-1 odds in the Grade 3 Eddie D. Stakes at Santa Anita on September 28,,,,,,,,,,,,,,,,,
Cigar Street,5/9/2012,"3, c, Street Sense - Arcadiana, by Deputy Minister",S. Margolis/W. Mott,Hairline fracture hind cannon bone (surgery to insert screw), Finished first at 8-5 odds in an 'n1x' optional claimer at Gulfstream on December 27,,,,,,,,,,,,,,,,,
Clontarf,3/1/2012,"3, f, Bellamy Road - Valley Vixen, by Valid Appeal",B. Rhone,Vet list,"Finished first at 5-1 odds in a $12,500 maiden claimer at Tampa Bay on March 21",,,,,,,,,,,,,,,,,
Clubhouse Ride,2/21/2011,"4, c, Candy Ride - Seeking Results, by Seeking the Gold",C. Lewis,Hairline fracture right ankle,Finished sixth at 23-1 odds in the Grade 2 Strub Stakes at Santa Anita on February 4,,,,,,,,,,,,,,,,,
Colossal Gift,2/6/2012,"4, r, Songandaprayer - Sentimental Gift, by Green Dancer",M. Hushion,Mucus,Finished fifth at 5-1 odds in an 'n1x' allowance at Aqueduct on February 9,,,,,,,,,,,,,,,,,
Comedero,2/23/2012,"5, g, Posse - Pawnee Patti, by Sir Richard Lewis",M. Stidham,Infected ligament back of right hind hock,Finished first at 2-5 odds in the Nodouble Breeders' Cup Stakes at Oaklawn on February 25,,,,,,,,,,,,,,,,,
Comedero,4/12/2012,"5, g, Posse - Pawnee Patti, by Sir Richard Lewis",M. Stidham,Fever,Finished sixth at 3-1 odds in the Grade 2 Commonwealth Stakes at Keeneland on April 14,,,,,,,,,,,,,,,,,
Confession,9/3/2011,"3, f, Broken Vow - Golden Locket, by Storm Creek",V. Oliver,Bled workout 9/3/11,Finished third at 2-1 odds in a maiden special weight at Indiana Downs on June 9,,,,,,,,,,,,,,,,,
Consolidator Joe,11/15/2011,"4, g, Consolidator - Ascot Tobie, by Ascot Knight",N. McKnight,He's got some issues... - N. McKnight,Finished third at 5-1 odds in an 'n2x' optional claimer at Woodbine on May 6,,,,,,,,,,,,,,,,,
Consortium,12/17/2011,"3, c, Bernardini - Marietta, by Machiavellian",K. McLaughlin,Blood in mucus,Finished sixth at 3-1 odds in the Grade 3 Holy Bull Stakes at Gulfstream on January 29,,,,,,,,,,,,,,,,,
Consortium,2/29/2012,"3, c, Bernardini - Marietta, by Machiavellian",K. McLaughlin,Chip right front ankle (surgery),Finished third at 17-10 odds in an 'OPC-C' at Aqueduct on November 10,,,,,,,,,,,,,,,,,
Contested,10/18/2011,"3, f, Ghostzapper - Gold Vault, by Arch",B. Baffert,Chipped ankle,Finished first at 3-10 odds in an 'ANC' allowance at Santa Anita on April 15,,,,,,,,,,,,,,,,,
Conway Two Step,5/31/2012,"3, f, Spanish Steps - Nancy's Glitter, by Glitterman",D. Fawkes,Colic (surgery),Finished sixth at 8-5 odds in the Regal Gal Stakes at Calder on June 2,,,,,,,,,,,,,,,,,
Cozy Sunday,12/15/2011,"3, f, Sunday Break -  Cozy Coed, by Private School",M. Thomas,Vets list,"Finished second at 24-1 odds in a $10,000 maiden claimer at Oaklawn on February 9",,,,,,,,,,,,,,,,,
Creative Cause,5/3/2012,"3, c, Giant's Causeway - Dream of Summer, by Siberian Summer",M. Harrington,Foot,Fnished fifth at 11-1 odds in the Grade 1 Kentucky Derby at Churchill on May 5,,,,,,,,,,,,,,,,,
Cruxus,1/5/2012,"3, g, With Distinction - Marzi, by Defrere",V. Cerin,Sick,"Finished eighth at 58-1 odds in a $40,000 maiden claimer at Santa Anita on January 26",,,,,,,,,,,,,,,,,
Cumulonimble,2/13/2012,"6, m, Stormy Atlantic - Crown Gulch, by Gulch",W. Catalano,Mucus,"Finished third at 5-1 odds in an ""OPC-C"" optional claimer at Gulfstream on February 15",,,,,,,,,,,,,,,,,
Currency Swap,10/15/2011,"3, c, High Cotton - Echo Bluff, by Pine Bluff",T. Pompay,Chip left front ankle (surgery)    ,"Finished second at 6-5 odds in an ""ANC"" allowance at Gulfstream on March 16",,,,,,,,,,,,,,,,,
Daisy Devine,2/1/2012,"4, f, Kafwain - Devil's Dispute, by Devil's Bag",A. McKeever,She came up with a little hiccup - A. McKeever,Finished first at 7-5 odds in the Mardi Gras Handicap at Fair Grounds on February 21,,,,,,,,,,,,,,,,,
Dame Marie,7/6/2011,"3, f, Smart Strike - Crystal Crossing, by Royal Academy",E. Kenneally,Bled workout 7/6/11,Finished first at 7-1 odds in a maiden special weight at Gulfstream on February 12,,,,,,,,,,,,,,,,,
Dancing in Silks,10/8/2011,"7, g, Black Minnaloushe - Lemhi Love, by Royal and Regal",K. Walsh/A. Saavedra,Retrained for new career as hunter-jumper + Sore feet + Unretired,Finished fourth at 44-1 odds in the Joe Hernandez Handicap at Santa Anita on March 4,,,,,,,,,,,,,,,,,
Dancing Raven,9/22/2011,"5, m, Tomahawk - Captivating, by Arch",M. Doyle,Condylar fracture (surgery to insert three screws),Finished seventh at 14-1 odds in the Grade 3 Whimsical Stakes at Woodbine on April 22,,,,,,,,,,,,,,,,,
Deerslayer,12/17/2011,"6, g, Rahy - Al Theraab, by Roberto",A. Weaver/R. Rodriguez,Bruised shoulder after hitting rail in warmup prior Gravesend Handicap,"Finished fifth at 2-1 odds in a $5,000 starter allowance at Aqueduct on February 25",,,,,,,,,,,,,,,,,
Derive,11/3/2011,"6, g, Cozzene - Fluttery Danseur, by Wavering Monarch",R. Diodoro,Sick (vets list),"Finished first at 1-1 odds in a $10,000 claimer at Turf Paradise on January 2",,,,,,,,,,,,,,,,,
Dialed In,5/21/2011,"4, c, Mineshaft - Miss Doolittle, by Storm Cat",N. Zito,Cuts both hind ankles + Chip right knee (surgery),Finished fourth at 1-1 odds in an 'n3x' optional claimer at Gulfstream on March 3,,,,,,,,,,,,,,,,,
Diamond Harry ,1/30/2012,"9. g. Sir Harry Lewis - Swift Conveyance, by Strong Gale",N. Williams,Breathing problem      ,DNF at 20-1 odds in the Group 1 Cheltenham Gold Cup Chase on March 16,,,,,,,,,,,,,,,,,
Diori,7/3/2011,"3, c, Orientate - Dixie N Spades, by Dixie Union",N. Howard,Bled workout 7/3/11,"Finished second at 13-1 in a $30,000 maiden claimer at Keeneland on October 21",,,,,,,,,,,,,,,,,
Discreet Dancer,2/6/2012,"3, c, Discreet Cat - West Side Dancer, by Gone West",T. Pletcher,Temperature (missed workout),Finished third at 4-5 odds in the Grade 2 Fasig-Tipton Fountain of Youth Stakes at Gulfstream on February 26,,,,,,,,,,,,,,,,,
Disposablepleasure,11/27/2011,"3, f, Giacomo - My Canada, by With Approval",T. Pletcher,Grabbed quarter outside of right front foot,Finished fourth at 3-1 odds in the Grade 2 Davona Dale Stakes at Gulfstream on February 25,,,,,,,,,,,,,,,,,
Distinctive Heart,10/23/2011,"3, g, With Distinction - Mere Presence, by Woodman",B. Flint,Vets list,"Finished fifth at 26-1 odds in a $30,000 maiden claimer at Churchill on June 24",,,,,,,,,,,,,,,,,
Distorted Legacy,4/6/2012,"5, m, Distorted Humor - Bunting, by Private Account",A. Penna Jr.,High temperature,Finished third at 2-1 odds in the Wait a While Stakes at Gulfstream on April 8,,,,,,,,,,,,,,,,,
Divine Music,6/4/2012,"4, g, Songandaprayer - Counterpoise, by Storm Cat",M. Pierce/M. Mareina,Sore,"Finished first at 5-1 odds in a $50,000 optional claimer at Belmont on June 6",,,,,,,,,,,,,,,,,
Done Talking,3/1/2012,"3, c, Broken Vow - Dixie Talking, by Dixieland Band",H. Smith,Colitis (spent week at New Bolton),Finished tenth at 18-1 odds in the Grade 3 Gotham Stakes at Aqueduct on March 3,,,,,,,,,,,,,,,,,
Down the Roof,7/9/2011,"6, m, Down the Aisle - Raise Your Queen, by Native Regent",J. Green,Vets list,"Finished first at 14-1 odds in an $8,000 maiden claimer at Tampa Bay on January 21",,,,,,,,,,,,,,,,,
Dullahan,2/18/2012,"3, c, Even the Score - Mining My Own, by Smart Strike",K. McPeek,Cough (missed couple of weeks),Finished second at 2-1 odds in the Grade 3 Palm Beach Stakes at Gulfstream on March 11,,,,,,,,,,,,,,,,,
Dullahan,3/28/2012,"3, c, Even the Score - Mining My Own, by Smart Strike",D. Romans,Popped splint (missed several days of training),Finished first at 3-1 odds in the Grade 1 Blue Grass Stakes at Keeneland on April 14,,,,,,,,,,,,,,,,,
Eblouissante,12/1/2011,"3, f, Bernardini - Vertigineux, by Kris S.",J. Shirreffs,Cough (missed two weeks),Finished first at 7-5 odds in a maiden special weight at Betfair Hollywood on November 16,,,,,,,,,,,,,,,,,
Eden's Moon,1/28/2012,"3, f, Malibu Moon - Eden's Causeway, by Giant's Causeway",B. Baffert,Fever    ,Finished first at 5-2 odds in the Grade 1 Las Virgenes Stakes at Santa Anita on March 3,,,,,,,,,,,,,,,,,
Egg Drop,11/11/2011,"3, f, Alphabet Soup - Rehocracy, by Adhocracy",M. Mitchell,Tibia,Finished third at 6-5 odds in an 'n1x' optional claimer at Betfair Hollywood on June 24,,,,,,,,,,,,,,,,,
Ellafitz,6/16/2012,"5, m, Tiznow - Skat Girl, by Dixieland Band",B. Baffert,"Illness (""throat issue"" - Baffert)",Finished eighth at 6-5 odds in the Mari Hilman George Stakes at Hoosier on October 6,,,,,,,,,,,,,,,,,
Empire Way,6/30/2012,"3, c, Empire Maker - Delta Princess, by A.P. Indy",M. Harrington,Cough      ,Finished sixth at 26-1 odds in the Grade 2 Swaps Stakes at Betfair Hollywood on July 4,,,,,,,,,,,,,,,,,
Entrainment,8/13/2011,"3, c, Medaglia d'Oro - Ron's Lady, by Elhayq",B. Walsh,Bled workout 8/13/11,Finished fourth at 33-1 odds in a maiden special weight at Gulfstream on January 14,,,,,,,,,,,,,,,,,
Erin Rose,5/7/2012,"5, m, Purge - Jewel of the East, by Kris S.",C. Clement,Bone-related injury,Finished third at 3-5 odds in an 'n3x' optional claimer at Parx on June 25,,,,,,,,,,,,,,,,,
Eternal Rule,11/16/2011,"4, g, Tribal Rule - Eternal Legend, by Gold Legend",S. Attard,Chipped knee (surgery),Finished first at 7-10 odds in an 'n3x' optional claimer at Woodbine on May 20,,,,,,,,,,,,,,,,,
Euro Platinum,11/21/2011,"5, m, Eurosilver - Miss Prado, by El Prado",A. Cappuccitti,Suspensory,Finished fifth at 16-1 odds in an 'n3x' optional claimer at Woodbine on June 8,,,,,,,,,,,,,,,,,
Ever So Lucky,1/4/2012,"3, c, Indian Charlie - Bally Storm, by Summer Squall",J. Sheppard,Bone bruise front ankle + Bruise left foot,Finished third at 13-10 odds in the Grade 3 Swale Stakes at Gulfstream on March 10,,,,,,,,,,,,,,,,,
Excaper,4/25/2012,"3, c, Exchange Rate - Ada Ruckus, by Bold Ruckus",I. Black," EPM (equine protozoal myeloencephalitis, a neurological disease)",Finished second at 1-1 odds in the Charley Barley Stakes at Woodbine on June 23,,,,,,,,,,,,,,,,,
Excessive Passion,10/10/2011,"5, h, Vronsky - Ms Hearts N Arrows, by In Excess",J. Bonde,"Vanned off, Off in right foreleg",Finished seventh at 3-1 odds in the Cool Frenchy Stakes at Hollywood on May 5,,,,,,,,,,,,,,,,,
